source,target,edge_type
A_27-11-2025,R_Karnataka,residence
A_27-11-2025,B_45608,biometric
A_27-11-2025,R_Tamil Nadu,residence
A_27-11-2025,B_62284,biometric
A_27-11-2025,R_Maharashtra,residence
A_27-11-2025,B_16762,biometric
A_27-11-2025,R_Assam,residence
A_27-11-2025,B_38761,biometric
A_27-11-2025,R_Gujarat,residence
A_27-11-2025,B_42469,biometric
A_27-11-2025,R_Andhra Pradesh,residence
A_27-11-2025,B_72074,biometric
A_27-11-2025,R_Haryana,residence
A_27-11-2025,B_31789,biometric
A_27-11-2025,R_Kerala,residence
A_27-11-2025,B_73312,biometric
A_27-11-2025,R_Bihar,residence
A_27-11-2025,B_77719,biometric
A_27-11-2025,R_Himachal Pradesh,residence
A_27-11-2025,B_66139,biometric
A_27-11-2025,R_Rajasthan,residence
A_27-11-2025,B_69288,biometric
A_27-11-2025,R_Madhya Pradesh,residence
A_27-11-2025,B_49615,biometric
A_27-11-2025,R_West Bengal,residence
A_27-11-2025,B_95972,biometric
A_27-11-2025,R_Uttarakhand,residence
A_27-11-2025,B_73572,biometric
A_27-11-2025,R_Manipur,residence
A_27-11-2025,B_47218,biometric
A_27-11-2025,R_Uttar Pradesh,residence
A_27-11-2025,B_40191,biometric
A_27-11-2025,R_Odisha,residence
A_27-11-2025,B_9263,biometric
A_27-11-2025,R_Chhattisgarh,residence
A_27-11-2025,B_88167,biometric
A_27-11-2025,R_Jharkhand,residence
A_27-11-2025,B_17531,biometric
A_27-11-2025,R_Jammu and Kashmir,residence
A_27-11-2025,B_16211,biometric
A_27-11-2025,R_Orissa,residence
A_27-11-2025,B_8384,biometric
A_27-11-2025,R_Punjab,residence
A_27-11-2025,B_76080,biometric
A_27-11-2025,R_Dadra and Nagar Haveli and Daman and Diu,residence
A_27-11-2025,B_60177,biometric
A_27-11-2025,R_Telangana,residence
A_27-11-2025,B_21801,biometric
R_Karnataka,A_13-09-2025,residence
R_Karnataka,A_02-12-2025,residence
R_Karnataka,A_04-12-2025,residence
R_Karnataka,A_07-12-2025,residence
R_Karnataka,A_24-10-2025,residence
R_Karnataka,A_06-09-2025,residence
R_Karnataka,A_25-10-2025,residence
R_Karnataka,A_27-12-2025,residence
R_Karnataka,A_13-12-2025,residence
R_Karnataka,A_10-12-2025,residence
R_Karnataka,A_06-12-2025,residence
R_Karnataka,A_09-09-2025,residence
R_Karnataka,A_26-12-2025,residence
R_Karnataka,A_18-09-2025,residence
R_Karnataka,A_01-09-2025,residence
R_Karnataka,A_08-09-2025,residence
